Datum izvlačenja,Broj 1,Broj 2,Broj 3,Broj 4,Broj 5,Broj 6,Bonus broj
2015-08-12,2,19,21,32,33,34,4
2015-08-19,1,20,22,30,36,43,30
2015-08-26,1,10,26,29,33,43,39
2015-09-02,10,15,17,24,25,29,9
2015-09-09,7,11,25,27,36,42,22
2015-09-16,2,3,18,25,31,44,30
2015-09-23,8,15,29,30,38,43,27
2015-09-30,6,16,22,30,31,41,37
2015-10-07,3,8,16,34,40,43,8
2015-10-14,4,24,33,37,40,42,29
2015-10-21,1,5,8,25,35,36,4
2015-10-28,4,11,13,14,40,41,34
2015-11-04,5,8,10,33,34,39,14
2015-11-11,10,16,21,41,42,44,38
2015-11-18,15,25,26,39,40,44,12
2015-11-25,7,15,21,22,28,31,5
2015-12-02,3,6,26,35,37,40,15
2015-12-09,11,16,17,26,37,43,8
2015-12-16,2,7,14,23,29,30,37
2015-12-23,5,11,13,21,36,38,17
2015-12-30,1,23,24,28,35,37,2
2016-01-06,6,14,21,26,42,43,34
2016-01-13,14,17,21,22,26,28,38
2016-01-20,8,9,27,32,35,41,35
2016-01-27,32,36,37,41,43,44,40
2016-02-03,2,3,14,15,33,41,41
2016-02-10,12,20,29,32,36,37,16
2016-02-17,5,8,18,22,38,40,21
2016-02-24,6,9,11,22,23,34,3
2016-03-02,1,2,6,20,31,34,16
2016-03-09,13,21,22,30,32,41,5
2016-03-16,8,12,27,33,36,39,4
2016-03-23,7,8,15,35,37,44,20
2016-03-30,9,10,33,35,39,41,17
2016-04-06,1,9,10,15,18,22,37
2016-04-13,6,12,13,28,31,35,1
2016-04-20,1,8,13,26,38,44,28
2016-04-27,2,9,11,16,19,41,37
2016-05-04,11,13,18,24,27,45,31
2016-05-11,3,12,15,18,28,41,27
2016-05-18,2,15,17,35,37,42,7
2016-05-25,4,14,18,23,26,31,44
2016-06-01,2,14,18,27,35,44,36
2016-06-08,3,17,20,21,25,32,3
2016-06-15,11,26,31,39,42,45,37
2016-06-22,8,9,20,30,35,43,7
2016-06-29,8,11,17,19,26,34,3
2016-07-06,1,2,11,22,24,33,35
2016-07-13,9,16,28,29,34,44,26
2016-07-20,6,17,19,20,28,33,38
2016-07-27,4,7,13,22,34,37,10
2016-08-03,3,17,27,33,36,41,24
2016-08-10,4,7,13,16,44,45,25
2016-08-17,14,31,33,37,42,45,5
2016-08-24,2,4,12,13,27,38,12
2016-08-31,7,8,14,23,28,44,25
2016-09-07,1,2,3,6,7,29,26
2016-09-14,1,7,8,11,26,31,11
2016-09-21,16,17,23,24,30,33,25
2016-09-28,1,20,28,31,36,44,16
2016-10-05,2,12,18,29,39,45,24
2016-10-12,24,26,28,37,39,42,44
2016-10-19,4,17,18,28,33,42,5
2016-10-26,4,8,10,27,30,43,17
2016-11-02,8,10,14,20,24,28,17
2016-11-09,8,9,21,26,28,35,3
2016-11-16,6,18,20,22,34,39,9
2016-11-23,10,16,25,26,28,44,30
2016-11-30,4,18,20,23,26,29,42
2016-12-07,5,7,8,17,21,24,38
2016-12-14,4,14,22,24,36,38,31
2016-12-21,3,10,19,25,42,44,6
2016-12-28,7,14,16,18,23,41,42
2017-01-04,1,10,15,18,43,44,14
2017-01-11,8,11,15,18,20,34,29
2017-01-18,5,25,34,40,42,45,34
2017-01-25,9,18,36,39,42,45,34
2017-02-01,14,22,36,39,42,44,28
2017-02-08,3,7,13,16,17,43,16
2017-02-15,4,15,29,34,39,42,29
2017-02-22,5,6,16,28,30,33,36
2017-03-01,2,9,10,14,31,36,19
2017-03-08,18,21,29,32,43,45,34
2017-03-15,1,14,17,18,21,44,16
2017-03-22,15,25,28,31,41,42,44
2017-03-29,14,22,23,29,38,42,45
2017-04-05,2,27,32,37,40,42,1
2017-04-12,23,24,30,31,39,40,26
2017-04-19,7,16,21,29,33,42,23
2017-04-26,2,10,12,20,23,29,13
2017-05-03,3,5,7,14,17,18,39
2017-05-10,6,13,16,22,38,44,11
2017-05-17,5,18,21,22,25,41,44
2017-05-24,3,5,12,15,32,42,15
2017-05-31,7,10,14,23,24,36,32
2017-06-07,15,24,25,26,27,39,28
2017-06-14,9,11,30,31,37,45,42
2017-06-21,1,6,8,15,36,43,38
2017-06-28,16,21,23,31,33,45,14
2017-07-05,8,14,16,17,24,28,3
2017-07-12,3,6,9,21,35,41,41
2017-07-19,3,13,15,18,20,42,38
2017-07-26,13,17,21,26,33,37,31
2017-08-02,5,15,21,27,28,31,29
2017-08-09,16,25,29,30,33,42,7
2017-08-16,1,2,10,14,30,40,31
2017-08-23,6,8,21,41,42,45,23
2017-08-30,10,11,12,15,30,32,39
2017-09-06,2,3,10,24,29,30,5
2017-09-13,6,10,13,35,36,41,7
2017-09-20,11,13,19,35,36,39,43
2017-09-27,17,18,19,21,25,41,10
2017-10-04,5,18,19,20,27,39,36
2017-10-11,1,9,13,25,34,39,13
2017-10-18,12,15,16,17,29,43,8
2017-10-25,22,23,27,32,35,45,40
2017-11-01,8,18,19,25,38,43,23
2017-11-08,3,6,15,28,32,33,21
2017-11-15,2,21,24,41,42,45,7
2017-11-22,3,4,19,24,41,43,20
2017-11-29,8,16,27,33,37,40,23
2017-12-06,1,5,6,19,20,37,13
2017-12-13,8,9,10,17,21,39,2
2017-12-20,5,7,19,32,36,42,6
2017-12-27,4,7,8,14,21,24,3
2018-01-03,9,11,20,24,33,39,19
2018-01-10,1,7,10,11,23,40,11
2018-01-17,14,20,34,35,39,42,40
2018-01-24,18,23,29,39,41,42,37
2018-01-31,13,14,17,22,26,42,9
2018-02-07,3,14,24,25,27,36,3
2018-02-14,6,11,16,29,30,38,9
2018-02-21,4,17,18,19,21,24,29
2018-02-28,11,13,19,26,35,41,35
2018-03-07,4,9,31,33,37,38,4
2018-03-14,1,4,10,28,42,44,32
2018-03-21,11,15,36,37,39,45,27
2018-03-28,2,3,8,15,20,23,42
2018-04-04,6,22,35,36,37,41,42
2018-04-11,5,10,17,21,38,40,32
2018-04-18,3,5,7,33,35,41,22
2018-04-25,5,6,18,19,37,44,15
2018-05-02,13,14,17,31,35,43,26
2018-05-09,2,20,25,34,37,38,2
2018-05-16,1,4,5,7,13,29,8
2018-05-23,5,13,14,15,34,37,24
2018-05-30,1,10,14,21,36,44,27
2018-06-06,6,30,32,39,42,45,25
2018-06-13,6,8,13,14,31,41,10
2018-06-20,3,17,22,32,42,43,38
2018-06-27,12,26,32,35,36,45,33
2018-07-04,10,22,26,35,36,40,26
2018-07-11,4,9,16,18,24,38,29
2018-07-18,4,18,20,24,36,44,18
2018-07-25,10,14,28,30,32,45,13
2018-08-01,2,12,13,24,29,37,34
2018-08-08,3,8,11,13,14,39,26
2018-08-15,12,14,17,24,35,41,45
2018-08-22,1,4,8,11,15,20,41
2018-08-29,1,10,12,14,30,42,20
2018-09-05,9,13,18,30,32,39,28
2018-09-12,10,20,29,38,40,44,43
2018-09-19,7,21,27,34,36,41,38
2018-09-26,9,10,18,34,35,39,11
2018-10-03,1,5,12,17,25,38,17
2018-10-10,3,5,7,8,36,37,8
2018-10-17,9,14,21,33,41,43,15
2018-10-24,4,9,32,40,41,44,35
2018-10-31,10,29,36,38,40,42,40
2018-11-07,18,23,33,37,39,41,40
2018-11-14,10,12,14,15,40,45,15
2018-11-21,2,12,27,28,29,39,11
2018-11-28,9,10,17,22,26,33,5
2018-12-05,6,9,13,18,34,43,32
2018-12-12,5,12,27,30,32,39,42
2018-12-19,7,25,30,32,40,44,33
2018-12-26,5,6,8,11,24,28,33
2019-01-02,11,17,22,35,37,45,39
2019-01-09,5,9,24,27,43,44,13
2019-01-16,7,14,15,31,33,36,6
2019-01-23,4,19,32,37,39,42,26
2019-01-30,15,18,23,24,27,39,33
2019-02-06,2,14,18,32,33,35,34
2019-02-13,6,21,23,24,29,31,40
2019-02-20,14,20,27,35,36,39,19
2019-02-27,1,7,13,18,36,42,16
2019-03-06,5,21,31,35,39,41,10
2019-03-13,7,14,23,24,29,35,37
2019-03-20,1,6,19,28,34,37,39
2019-03-27,6,25,28,34,36,43,40
2019-04-03,10,18,23,26,27,39,4
2019-04-10,1,10,24,34,37,40,18
2019-04-17,4,7,8,24,32,41,39
2019-04-24,5,8,20,26,28,40,40
2019-05-01,1,20,26,34,42,44,29
2019-05-08,5,8,17,22,23,38,16
2019-05-15,1,8,18,29,33,37,24
2019-05-22,3,24,25,39,40,41,38
2019-05-29,16,21,25,26,35,44,4
2019-06-05,3,12,14,16,25,44,14
2019-06-12,2,6,10,14,32,45,18
2019-06-19,14,17,22,28,31,39,8
2019-06-26,13,17,21,27,30,35,3
2019-07-03,6,9,16,17,38,43,6
2019-07-10,1,14,19,22,27,33,26
2019-07-17,3,24,27,29,39,44,38
2019-07-24,1,5,24,27,36,39,45
2019-07-31,14,16,29,30,32,36,18
2019-08-07,2,3,4,22,23,24,38
2019-08-14,7,9,11,31,38,39,17
2019-08-21,7,18,33,36,38,40,6
2019-08-28,12,25,39,42,43,44,29
2019-09-04,1,11,23,31,37,41,41
2019-09-11,4,6,10,14,21,33,42
2019-09-18,6,7,22,26,27,45,19
2019-09-25,5,11,13,17,26,41,36
2019-10-02,9,13,17,29,30,40,11
2019-10-09,3,7,15,22,27,42,3
2019-10-16,3,12,17,32,37,39,23
2019-10-23,20,21,27,34,37,38,25
2019-10-30,12,17,25,34,39,42,26
2019-11-06,15,20,32,33,41,42,28
2019-11-13,14,15,20,26,31,40,24
2019-11-20,13,18,23,24,28,29,37
2019-11-27,5,14,16,19,24,26,38
2019-12-04,1,8,19,22,42,45,30
2019-12-11,9,15,21,31,38,39,30
2019-12-18,2,14,28,37,39,40,1
2019-12-25,12,13,19,29,38,42,20
2020-01-01,2,12,19,28,34,45,34
2020-01-08,10,14,18,31,36,43,41
2020-01-15,1,6,26,27,28,34,37
2020-01-22,23,25,29,31,39,41,32
2020-01-29,2,16,18,19,27,34,18
2020-02-05,9,16,19,26,35,40,40
2020-02-12,16,20,24,26,29,45,37
2020-02-19,5,27,32,38,43,44,6
2020-02-26,11,12,23,24,28,39,1
2020-03-04,6,10,11,16,30,45,31
2020-03-11,8,10,20,24,28,32,19
2020-03-18,1,7,9,31,33,45,17
2020-03-25,12,17,20,22,29,37,23
2020-04-01,1,4,5,6,30,32,41
2020-04-08,12,15,17,37,39,45,2
2020-04-15,8,14,25,27,38,42,40
2020-04-22,1,10,15,27,32,40,15
2020-04-29,5,16,19,22,33,34,20
2020-05-06,20,21,26,31,40,42,23
2020-05-13,1,11,20,27,41,44,32
2020-05-20,4,10,23,32,33,37,38
2020-05-27,8,19,23,26,33,40,30
2020-06-03,12,19,34,41,42,44,16
2020-06-10,1,4,9,21,35,38,36
2020-06-17,15,20,22,25,31,39,31
2020-06-24,13,24,25,27,28,32,41
2020-07-01,3,6,7,15,23,26,22
2020-07-08,13,21,23,24,30,38,16
2020-07-15,1,3,19,20,28,35,45
2020-07-22,1,12,15,35,44,45,12
2020-07-29,4,6,16,30,43,45,3
2020-08-05,5,16,23,33,38,45,36
2020-08-12,4,27,34,35,37,38,5
2020-08-19,4,6,13,14,40,43,24
2020-08-26,9,15,22,27,38,39,5
2020-09-02,8,15,23,25,32,38,42
2020-09-09,4,17,22,23,29,32,5
2020-09-16,12,17,38,40,42,45,34
2020-09-23,2,9,18,19,30,32,28
2020-09-30,7,10,18,20,21,29,3
2020-10-07,6,20,23,29,31,32,35
2020-10-14,2,10,17,23,30,40,18
2020-10-21,11,13,16,17,33,36,36
2020-10-28,14,17,29,36,41,45,40
2020-11-04,1,5,14,15,27,34,16
2020-11-11,5,8,10,12,20,44,39
2020-11-18,13,27,29,30,36,45,1
2020-11-25,5,7,15,21,29,32,44
2020-12-02,18,22,24,30,35,36,3
2020-12-09,3,4,15,35,37,42,33
2020-12-16,1,3,6,13,14,21,22
2020-12-23,2,3,8,24,30,36,41
2020-12-30,9,14,17,31,38,44,1
2021-01-06,2,3,9,17,21,26,42
2021-01-13,7,10,25,35,38,45,12
2021-01-20,8,23,25,40,41,45,23
2021-01-27,4,22,24,35,37,40,18
2021-02-03,12,20,33,34,35,45,6
2021-02-10,6,15,29,31,38,44,6
2021-02-17,2,12,17,19,25,41,36
2021-02-24,11,15,18,21,25,37,28
2021-03-03,6,12,15,18,38,45,10
2021-03-10,3,5,6,12,15,38,36
2021-03-17,5,12,15,32,38,41,19
2021-03-24,2,3,21,27,34,41,25
2021-03-31,13,17,26,27,30,42,2
2021-04-07,2,11,13,14,30,41,35
2021-04-14,8,13,26,30,38,44,36
2021-04-21,8,9,20,33,41,44,33
2021-04-28,6,13,16,23,40,44,32
2021-05-05,2,3,11,12,27,38,17
2021-05-12,1,3,7,29,37,44,14
2021-05-19,2,3,32,34,36,40,25
2021-05-26,11,15,25,30,37,40,31
2021-06-02,10,21,32,35,37,44,35
2021-06-09,3,21,24,31,33,37,24
2021-06-16,7,13,16,30,31,34,37
2021-06-23,5,9,18,26,36,44,40
2021-06-30,8,16,22,37,39,44,44
2021-07-07,9,12,18,21,29,43,40
2021-07-14,4,23,25,31,33,41,42
2021-07-21,2,7,12,15,20,36,41
2021-07-28,8,28,29,30,43,45,7
2021-08-04,1,20,22,26,40,44,19
2021-08-11,7,11,27,31,35,36,16
2021-08-18,9,10,15,16,19,44,33
2021-08-25,11,15,25,26,34,38,11
2021-09-01,27,28,38,39,41,42,15
2021-09-08,12,24,30,43,44,45,13
2021-09-15,2,9,10,14,30,44,17
2021-09-22,10,26,31,34,37,43,7
2021-09-29,1,2,7,15,19,24,41
2021-10-06,2,11,16,24,31,34,23
2021-10-13,1,11,26,30,37,44,35
2021-10-20,7,11,22,24,29,45,9
2021-10-27,1,7,13,17,22,30,23
2021-11-03,11,14,21,23,29,33,16
2021-11-10,1,24,30,34,40,42,26
2021-11-17,3,9,11,29,32,36,10
2021-11-24,8,12,21,22,23,28,39
2021-12-01,3,10,25,33,36,41,16
2021-12-08,8,13,20,29,33,42,18
2021-12-15,1,3,7,11,14,40,12
2021-12-22,4,8,33,35,38,45,20
2021-12-29,7,8,16,26,28,34,43
2022-01-05,6,9,11,27,30,34,2
2022-01-12,11,15,16,32,39,42,17
2022-01-19,5,10,13,20,22,36,17
2022-01-26,14,19,20,26,31,35,45
2022-02-02,6,7,29,32,40,42,20
2022-02-09,3,10,12,25,30,40,14
2022-02-16,3,7,18,37,44,45,23
2022-02-23,4,11,16,30,31,40,4
2022-03-02,9,15,21,22,26,30,41
2022-03-09,4,11,14,15,22,42,30
2022-03-16,8,9,19,31,38,40,37
2022-03-23,5,6,15,21,28,34,42
2022-03-30,6,8,10,37,38,44,25
2022-04-06,4,9,26,30,31,43,25
2022-04-13,2,12,19,23,28,31,13
2022-04-20,1,5,8,21,39,40,2
2022-04-27,9,11,16,20,35,36,35
2022-05-04,5,6,12,17,21,26,9
2022-05-11,5,21,23,33,35,42,12
2022-05-18,2,19,20,23,28,38,44
2022-05-25,2,7,8,11,22,34,43
2022-06-01,3,7,10,12,18,42,30
2022-06-08,11,20,23,32,35,43,27
2022-06-15,3,9,17,24,30,36,12
2022-06-22,4,22,27,34,36,42,38
2022-06-29,8,11,24,30,43,45,27
2022-07-06,5,16,21,31,41,45,13
2022-07-13,2,5,12,16,26,30,38
2022-07-20,3,5,15,22,25,37,17
2022-07-27,20,21,25,27,29,43,10
2022-08-03,6,19,32,34,37,45,38
2022-08-10,2,12,15,21,34,45,39
2022-08-17,10,17,19,20,34,45,4
2022-08-24,4,13,17,21,35,40,28
2022-08-31,2,9,17,23,24,41,2
2022-09-07,3,10,25,28,40,45,14
2022-09-14,3,11,21,27,43,45,19
2022-09-21,1,17,23,36,40,43,37
2022-09-28,7,8,19,26,31,37,36
2022-10-05,10,15,17,37,39,45,6
2022-10-12,8,9,24,42,43,45,24
2022-10-19,1,2,29,31,42,44,5
2022-10-26,6,7,22,24,36,42,19
2022-11-02,2,5,24,29,36,37,45
2022-11-09,11,13,16,20,32,34,1
2022-11-16,3,18,20,25,38,43,33
2022-11-23,1,2,16,29,32,34,33
2022-11-30,14,18,19,23,26,31,21
2022-12-07,1,17,30,33,39,41,21
2022-12-14,2,9,12,13,18,36,32
2022-12-21,3,5,17,20,24,30,14
2022-12-28,1,8,12,15,24,45,8
2023-01-04,5,11,15,23,25,31,33
2023-01-11,2,4,5,23,30,43,39
2023-01-18,4,6,13,17,36,44,39
2023-01-25,10,16,18,30,33,40,25
2023-02-01,4,11,26,33,35,41,45
2023-02-08,2,26,34,38,40,45,8
2023-02-15,6,11,19,21,29,34,41
2023-02-22,9,11,12,20,37,42,45
2023-03-01,11,22,26,29,30,34,15
2023-03-08,16,19,21,27,30,32,29
2023-03-15,20,22,23,32,43,44,21
2023-03-22,6,12,19,25,26,31,29
2023-03-29,14,22,25,29,32,33,33
2023-04-05,7,10,12,35,40,44,37
2023-04-12,4,16,22,32,41,42,43
2023-04-19,1,6,15,32,35,41,30
2023-04-26,7,9,18,22,27,39,40
2023-05-03,4,7,25,31,37,39,20
2023-05-10,17,23,26,32,41,44,40
2023-05-17,1,24,27,29,34,45,37
2023-05-24,6,16,23,33,35,38,44
2023-05-31,10,18,21,24,27,43,28
2023-06-07,2,5,6,9,13,44,4
2023-06-14,12,18,25,30,39,41,19
2023-06-21,17,23,24,30,33,45,3
2023-06-28,6,7,19,23,28,42,37
2023-07-05,11,19,20,24,33,42,31
2023-07-12,6,11,19,20,21,35,1
2023-07-19,3,14,21,26,38,40,26
2023-07-26,13,14,20,23,24,33,3
2023-08-02,16,18,19,21,25,38,35
2023-08-09,1,15,22,33,36,37,41
2023-08-16,6,11,12,21,25,26,43
2023-08-23,10,13,27,29,33,35,16
2023-08-30,8,9,17,24,34,36,28
2023-09-06,8,15,21,25,27,31,38
2023-09-13,6,15,31,32,40,45,3
2023-09-20,12,16,29,30,38,45,9
2023-09-27,10,20,26,28,30,33,44
2023-10-04,13,16,19,35,38,43,8
2023-10-11,1,5,12,13,31,43,15
2023-10-18,7,10,13,25,26,45,32
2023-10-25,1,5,8,21,28,44,6
2023-11-01,19,24,26,34,44,45,1
2023-11-08,1,6,19,20,27,37,30
2023-11-15,20,22,35,37,40,43,3
2023-11-22,13,22,25,32,33,35,27
2023-11-29,6,10,13,25,28,31,18
2023-12-06,3,8,13,27,34,40,40
2023-12-13,17,20,24,29,36,45,45
2023-12-20,6,10,14,24,25,26,25
2023-12-27,2,5,23,36,37,42,4
2024-01-03,1,3,18,26,36,37,28
2024-01-10,11,28,31,32,41,42,7
2024-01-17,3,6,9,11,14,36,36
2024-01-24,3,28,31,37,39,45,31
2024-01-31,5,7,11,15,33,38,11
2024-02-07,2,4,9,29,39,40,25
2024-02-14,1,13,20,30,37,43,13
2024-02-21,1,3,5,18,22,36,25
2024-02-28,16,19,21,22,23,40,29
2024-03-06,1,6,21,27,31,38,43
2024-03-13,3,12,18,24,32,41,40
2024-03-20,12,21,23,28,32,37,26
2024-03-27,7,16,18,23,30,42,30
2024-04-03,5,6,7,9,12,26,6
2024-04-10,7,8,15,19,36,45,33
2024-04-17,12,13,16,19,31,34,2
2024-04-24,6,11,28,29,34,35,20
2024-05-01,1,3,6,13,15,33,19
2024-05-08,2,5,6,13,14,32,16
2024-05-15,6,11,15,20,23,40,36
2024-05-22,9,13,15,21,31,40,14
2024-05-29,6,12,16,18,21,25,38
2024-06-05,7,13,21,31,33,42,14
2024-06-12,2,16,20,22,30,40,32
2024-06-19,11,14,24,25,28,41,30
2024-06-26,12,17,19,21,24,43,22
2024-07-03,3,8,17,19,20,27,36
2024-07-10,16,24,33,37,41,42,7
2024-07-17,2,9,13,22,36,42,39
2024-07-24,5,11,12,14,37,41,13
2024-07-31,5,12,18,20,40,44,15
2024-08-07,4,19,22,24,29,43,15
2024-08-14,7,25,29,32,33,37,37
2024-08-21,6,13,25,37,42,45,34
2024-08-28,5,20,28,30,32,45,40
2024-09-04,6,28,29,30,35,40,11
2024-09-11,3,8,12,23,26,33,36
2024-09-18,1,2,3,7,14,40,20
2024-09-25,2,10,16,21,28,43,14
2024-10-02,7,15,19,23,32,45,34
2024-10-09,1,19,28,30,39,40,27
2024-10-16,4,16,36,41,42,45,18
2024-10-23,5,12,15,16,20,25,26
2024-10-30,7,10,21,28,32,38,11
2024-11-06,11,20,23,30,33,36,21
2024-11-13,2,4,13,17,31,40,45
2024-11-20,6,10,13,19,27,32,44
2024-11-27,1,4,9,17,29,42,5
2024-12-04,4,33,35,38,39,43,9
2024-12-11,4,5,15,31,42,45,12
2024-12-18,1,12,15,16,19,42,27
2024-12-25,2,19,26,29,40,45,30
2025-01-01,7,14,20,22,26,29,17
2025-01-08,12,14,26,27,29,31,35
2025-01-15,5,13,32,34,35,37,1
2025-01-22,6,9,14,18,30,42,40
2025-01-29,3,24,33,40,43,44,40
2025-02-05,3,12,27,35,38,44,8
2025-02-12,3,7,10,30,33,34,20
2025-02-19,4,14,20,22,23,25,30
2025-02-26,4,5,27,32,39,43,22
2025-03-05,5,12,14,29,33,34,16
2025-03-12,1,5,17,23,25,35,11
2025-03-19,3,11,26,31,38,40,17
2025-03-26,9,12,22,26,35,42,40
2025-04-02,3,8,13,15,17,42,39
2025-04-09,2,18,20,26,27,44,32
2025-04-16,2,5,8,13,21,33,21
2025-04-23,6,9,22,26,28,29,27
2025-04-30,12,25,27,28,35,37,1
2025-05-07,6,11,26,32,38,42,18
2025-05-14,20,33,36,40,43,45,42
2025-05-21,3,8,9,27,39,43,25
2025-05-28,8,14,18,27,29,45,18
2025-06-04,9,10,13,19,20,23,6
2025-06-11,2,15,22,31,40,44,25
2025-06-18,6,16,29,38,43,45,32
2025-06-25,3,14,18,24,32,41,31
2025-07-02,4,11,22,26,37,38,14
2025-07-09,3,4,10,18,40,41,22
2025-07-16,5,20,23,26,30,38,7
2025-07-23,3,7,12,17,32,40,30
2025-07-30,7,11,15,24,28,35,34
2025-08-06,11,12,38,41,44,45,28
2025-08-13,1,4,7,27,32,40,9
2025-08-20,9,18,19,26,30,40,2
2025-08-27,14,22,25,29,43,44,42
2025-09-03,15,21,30,32,37,42,37
2025-09-10,1,9,10,16,24,26,1
2025-09-17,6,11,24,25,28,33,26
2025-09-24,3,4,7,13,32,37,31
2025-10-01,14,17,24,37,41,44,1
2025-10-08,6,8,11,23,28,40,23
2025-10-15,8,10,22,24,28,40,29
2025-10-22,3,18,24,25,34,39,15
2025-10-29,5,14,19,20,34,44,7
2025-11-05,9,22,24,26,30,39,15
2025-11-12,12,13,14,15,35,45,23
2025-11-19,5,15,30,33,37,42,3
2025-11-26,9,11,18,23,34,37,30
2025-12-03,2,13,22,31,35,36,40
2025-12-10,6,12,19,21,41,43,8
2025-12-17,11,21,29,31,42,45,26
2025-12-24,10,15,19,21,28,45,39
2025-12-31,1,16,27,29,39,43,34
2026-01-07,10,14,20,21,34,44,21
2026-01-14,10,11,13,31,35,42,11
2026-01-21,2,7,12,25,34,42,19
2026-01-28,5,14,25,31,38,41,20
2026-02-04,7,8,13,18,24,35,16
2026-02-11,17,18,22,31,34,39,25
2026-02-18,3,6,18,20,27,37,15
2026-02-25,1,12,14,28,35,37,7
2026-03-04,2,10,12,14,25,39,6
2026-03-11,3,13,15,40,43,45,13
2026-03-18,3,13,30,36,38,39,41
2026-03-25,3,10,23,26,37,40,14
2026-04-01,2,16,29,33,34,43,9
2026-04-08,10,15,17,33,37,45,21
2026-04-15,2,4,7,14,19,36,8
