회차,추첨일,당첨번호 1,2,3,4,5,6
10/31/2022,2022-10-31,2,13,27,30,42,43
10/28/2022,2022-10-28,7,8,11,13,24,39
10/26/2022,2022-10-26,2,7,25,31,35,41
10/24/2022,2022-10-24,4,13,14,18,27,44
10/21/2022,2022-10-21,11,22,34,35,40,41
10/19/2022,2022-10-19,11,13,25,31,35,37
10/17/2022,2022-10-17,3,11,19,24,30,35
10/14/2022,2022-10-14,1,8,10,15,17,38
10/12/2022,2022-10-12,4,6,10,18,31,39
10/10/2022,2022-10-10,3,6,19,20,25,35
10/7/2022,2022-10-07,4,21,30,34,35,39
10/5/2022,2022-10-05,3,9,21,23,40,43
10/3/2022,2022-10-03,4,21,36,38,44,45
9/30/2022,2022-09-30,3,16,18,31,32,33
9/28/2022,2022-09-28,9,16,22,25,31,34
9/26/2022,2022-09-26,16,22,25,30,38,43
9/23/2022,2022-09-23,7,21,24,34,38,44
9/21/2022,2022-09-21,1,20,26,31,39,42
9/19/2022,2022-09-19,17,18,20,22,25,41
9/16/2022,2022-09-16,12,17,22,30,41,42
9/14/2022,2022-09-14,10,11,28,30,40,41
9/12/2022,2022-09-12,3,14,16,19,26,37
9/9/2022,2022-09-09,10,12,20,29,32,39
9/7/2022,2022-09-07,4,5,10,11,24,31
9/5/2022,2022-09-05,4,10,12,16,36,39
9/2/2022,2022-09-02,9,21,27,38,42,44
8/31/2022,2022-08-31,2,4,16,27,35,40
8/29/2022,2022-08-29,17,19,21,24,26,38
8/26/2022,2022-08-26,2,10,12,25,28,34
8/24/2022,2022-08-24,18,30,36,37,40,45
8/22/2022,2022-08-22,8,10,20,30,33,34
8/19/2022,2022-08-19,15,19,27,36,37,43
8/17/2022,2022-08-17,1,4,11,15,22,44
8/15/2022,2022-08-15,15,19,34,36,37,41
8/12/2022,2022-08-12,1,3,9,19,23,28
8/10/2022,2022-08-10,15,18,19,20,27,41
8/8/2022,2022-08-08,1,7,29,32,39,42
8/5/2022,2022-08-05,13,18,23,28,30,31
8/3/2022,2022-08-03,3,10,19,33,37,45
8/1/2022,2022-08-01,13,15,17,26,31,41
7/29/2022,2022-07-29,7,8,14,30,41,44
7/27/2022,2022-07-27,7,9,10,18,30,32
7/25/2022,2022-07-25,7,9,11,12,32,40
7/22/2022,2022-07-22,11,15,16,20,30,41
7/20/2022,2022-07-20,2,11,23,24,38,45
7/18/2022,2022-07-18,6,13,17,39,40,45
7/15/2022,2022-07-15,2,4,26,33,35,37
7/13/2022,2022-07-13,12,17,19,23,30,32
7/11/2022,2022-07-11,8,16,20,27,28,43
7/8/2022,2022-07-08,11,13,28,39,40,41
7/6/2022,2022-07-06,7,13,29,35,37,38
7/4/2022,2022-07-04,4,6,7,21,33,40
7/1/2022,2022-07-01,1,2,20,22,28,44
6/29/2022,2022-06-29,7,10,22,36,39,42
6/27/2022,2022-06-27,10,19,22,31,33,44
6/24/2022,2022-06-24,3,10,13,16,25,28
6/22/2022,2022-06-22,7,10,12,23,34,43
6/20/2022,2022-06-20,14,17,18,23,25,32
6/17/2022,2022-06-17,2,3,10,12,18,27
6/15/2022,2022-06-15,12,13,18,29,33,43
6/13/2022,2022-06-13,2,14,18,22,32,41
6/10/2022,2022-06-10,5,9,27,29,39,43
6/8/2022,2022-06-08,4,17,19,24,35,43
6/6/2022,2022-06-06,12,16,22,25,31,34
6/3/2022,2022-06-03,4,15,20,31,32,39
6/1/2022,2022-06-01,2,25,26,28,34,41
5/30/2022,2022-05-30,12,21,24,30,40,44
5/27/2022,2022-05-27,7,8,14,39,42,45
5/25/2022,2022-05-25,4,10,27,34,37,39
5/23/2022,2022-05-23,3,5,9,13,26,36
5/20/2022,2022-05-20,1,10,12,14,23,32
5/18/2022,2022-05-18,1,10,26,40,42,45
5/16/2022,2022-05-16,1,8,10,13,20,22
5/13/2022,2022-05-13,2,20,21,22,25,31
5/11/2022,2022-05-11,6,9,27,35,36,45
5/9/2022,2022-05-09,1,3,19,21,36,39
5/6/2022,2022-05-06,7,13,20,30,40,42
5/4/2022,2022-05-04,12,22,23,25,33,42
5/2/2022,2022-05-02,2,9,13,20,26,37
4/29/2022,2022-04-29,7,9,19,41,42,44
4/27/2022,2022-04-27,3,20,21,38,40,42
4/25/2022,2022-04-25,5,12,17,28,29,36
4/22/2022,2022-04-22,22,31,37,39,40,43
4/20/2022,2022-04-20,5,10,19,27,30,42
4/18/2022,2022-04-18,5,7,8,10,17,25
4/13/2022,2022-04-13,3,6,8,15,34,44
4/11/2022,2022-04-11,5,8,16,31,32,39
4/8/2022,2022-04-08,5,14,27,28,35,44
4/6/2022,2022-04-06,5,16,25,31,32,38
4/4/2022,2022-04-04,7,28,29,35,39,43
4/1/2022,2022-04-01,1,2,10,11,37,42
3/30/2022,2022-03-30,1,7,8,21,34,37
3/28/2022,2022-03-28,3,5,7,8,12,25
3/25/2022,2022-03-25,4,11,26,43,44,45
3/23/2022,2022-03-23,8,10,23,32,41,44
3/21/2022,2022-03-21,1,12,19,33,38,41
3/18/2022,2022-03-18,7,17,18,22,26,34
3/16/2022,2022-03-16,6,8,12,22,38,43
3/14/2022,2022-03-14,7,10,15,33,41,42
3/11/2022,2022-03-11,3,5,11,16,22,34
3/9/2022,2022-03-09,9,11,17,22,24,33
3/7/2022,2022-03-07,3,7,20,29,30,44
3/4/2022,2022-03-04,2,8,20,27,37,45
3/2/2022,2022-03-02,2,17,27,30,42,45
2/28/2022,2022-02-28,3,12,18,27,37,44
2/25/2022,2022-02-25,6,21,22,23,36,41
2/23/2022,2022-02-23,3,22,30,34,35,44
2/21/2022,2022-02-21,15,21,27,31,35,41
2/18/2022,2022-02-18,4,6,16,29,30,31
2/16/2022,2022-02-16,6,10,13,15,20,34
2/14/2022,2022-02-14,6,15,18,22,27,29
2/11/2022,2022-02-11,17,19,23,30,41,43
2/9/2022,2022-02-09,8,17,25,30,32,43
2/7/2022,2022-02-07,4,7,8,10,38,45
2/4/2022,2022-02-04,5,14,15,34,42,45
2/2/2022,2022-02-02,3,5,20,25,32,42
1/31/2022,2022-01-31,7,13,23,27,33,38
1/28/2022,2022-01-28,4,13,24,26,31,40
1/26/2022,2022-01-26,7,11,14,19,34,35
1/24/2022,2022-01-24,8,9,18,26,27,44
1/21/2022,2022-01-21,6,10,17,30,34,43
1/19/2022,2022-01-19,2,8,12,26,39,40
1/17/2022,2022-01-17,7,14,22,29,34,37
1/14/2022,2022-01-14,13,17,18,20,24,31
1/12/2022,2022-01-12,12,16,26,40,44,45
1/10/2022,2022-01-10,8,24,30,32,33,40
1/7/2022,2022-01-07,7,10,12,26,41,44
1/5/2022,2022-01-05,10,19,20,21,27,30
1/3/2022,2022-01-03,8,12,24,25,30,32
12/31/2021,2021-12-31,3,15,16,18,19,39
12/29/2021,2021-12-29,3,15,18,25,29,39
12/27/2021,2021-12-27,8,19,21,34,37,43
12/24/2021,2021-12-24,6,21,26,31,33,36
12/22/2021,2021-12-22,6,7,17,23,36,40
12/20/2021,2021-12-20,13,18,20,26,30,37
12/17/2021,2021-12-17,5,20,29,36,43,45
12/15/2021,2021-12-15,3,8,14,20,21,24
12/13/2021,2021-12-13,4,7,10,12,36,40
12/10/2021,2021-12-10,3,18,23,27,33,42
12/8/2021,2021-12-08,2,8,37,39,43,44
12/6/2021,2021-12-06,5,18,30,31,32,38
12/3/2021,2021-12-03,12,25,33,34,35,36
12/1/2021,2021-12-01,1,25,26,27,30,45
11/29/2021,2021-11-29,1,8,17,23,30,38
11/26/2021,2021-11-26,12,15,20,23,28,43
11/24/2021,2021-11-24,2,13,19,28,29,38
11/22/2021,2021-11-22,8,9,17,23,34,40
11/19/2021,2021-11-19,2,23,25,35,38,41
11/17/2021,2021-11-17,3,15,18,26,28,38
11/15/2021,2021-11-15,7,28,39,41,42,44
11/12/2021,2021-11-12,6,14,29,35,38,41
11/10/2021,2021-11-10,5,14,15,16,41,44
11/8/2021,2021-11-08,14,15,21,35,40,42
11/5/2021,2021-11-05,9,10,17,24,32,33
11/3/2021,2021-11-03,4,8,13,28,34,38
11/1/2021,2021-11-01,3,7,13,15,35,38
10/29/2021,2021-10-29,10,12,26,27,37,42
10/27/2021,2021-10-27,4,25,26,33,34,36
10/25/2021,2021-10-25,20,26,34,37,40,44
10/22/2021,2021-10-22,5,25,30,37,38,41
10/20/2021,2021-10-20,1,2,15,18,30,45
10/18/2021,2021-10-18,5,21,24,28,29,40
10/15/2021,2021-10-15,13,21,23,25,37,44
10/13/2021,2021-10-13,24,25,31,35,41,43
10/11/2021,2021-10-11,25,30,38,39,43,44
10/8/2021,2021-10-08,5,11,29,38,39,41
10/6/2021,2021-10-06,6,7,34,35,38,41
10/4/2021,2021-10-04,2,6,19,22,34,38
10/1/2021,2021-10-01,9,10,13,19,29,30
9/29/2021,2021-09-29,3,7,10,11,14,30
9/27/2021,2021-09-27,3,7,8,35,44,45
9/24/2021,2021-09-24,2,4,6,24,28,41
9/22/2021,2021-09-22,3,18,19,31,37,40
9/20/2021,2021-09-20,5,18,20,22,30,44
9/17/2021,2021-09-17,1,20,21,30,40,42
9/15/2021,2021-09-15,17,18,29,30,38,43
9/13/2021,2021-09-13,4,13,19,39,41,42
9/8/2021,2021-09-08,2,10,14,17,35,42
9/6/2021,2021-09-06,11,16,31,40,43,45
9/3/2021,2021-09-03,1,6,16,23,28,34
9/1/2021,2021-09-01,14,26,30,31,37,38
8/30/2021,2021-08-30,5,13,19,20,41,42
8/27/2021,2021-08-27,11,14,22,35,42,45
8/25/2021,2021-08-25,12,21,29,38,43,44
8/23/2021,2021-08-23,5,16,23,24,36,37
8/20/2021,2021-08-20,3,8,9,10,32,34
8/18/2021,2021-08-18,9,20,28,31,32,38
8/16/2021,2021-08-16,3,8,10,13,37,41
8/13/2021,2021-08-13,8,19,28,38,42,43
8/11/2021,2021-08-11,8,15,20,21,23,44
8/9/2021,2021-08-09,2,15,23,24,41,42
8/6/2021,2021-08-06,9,11,24,32,33,42
8/4/2021,2021-08-04,2,23,24,34,38,42
8/2/2021,2021-08-02,10,16,26,38,41,44
7/30/2021,2021-07-30,10,19,37,41,42,44
7/28/2021,2021-07-28,8,17,22,26,32,34
7/26/2021,2021-07-26,8,24,30,34,36,40
7/23/2021,2021-07-23,2,5,8,9,10,31
7/21/2021,2021-07-21,5,10,13,22,32,33
7/19/2021,2021-07-19,6,9,22,31,38,44
7/16/2021,2021-07-16,5,14,19,30,40,45
7/14/2021,2021-07-14,2,16,25,26,34,43
7/12/2021,2021-07-12,3,12,25,29,36,43
7/9/2021,2021-07-09,12,15,18,27,32,43
7/7/2021,2021-07-07,5,7,12,16,25,26
7/5/2021,2021-07-05,6,14,15,20,37,44
7/2/2021,2021-07-02,4,7,9,10,30,33
6/30/2021,2021-06-30,6,9,14,15,16,25
6/28/2021,2021-06-28,1,18,25,32,37,40
6/25/2021,2021-06-25,6,7,8,16,28,31
6/23/2021,2021-06-23,7,17,23,24,31,33
6/21/2021,2021-06-21,20,22,35,38,40,44
6/18/2021,2021-06-18,3,6,12,25,33,39
6/16/2021,2021-06-16,8,12,16,27,39,44
6/14/2021,2021-06-14,9,14,25,28,32,35
6/11/2021,2021-06-11,18,26,29,31,39,41
6/9/2021,2021-06-09,4,13,16,18,25,45
6/7/2021,2021-06-07,11,12,15,17,32,37
6/4/2021,2021-06-04,2,6,27,29,32,43
6/2/2021,2021-06-02,2,3,10,25,31,33
5/31/2021,2021-05-31,8,17,23,33,38,39
5/28/2021,2021-05-28,11,14,23,27,33,42
5/26/2021,2021-05-26,4,23,29,32,36,43
5/24/2021,2021-05-24,1,3,13,20,25,35
5/21/2021,2021-05-21,2,7,9,14,27,43
5/19/2021,2021-05-19,8,9,26,40,43,45
5/17/2021,2021-05-17,6,14,20,24,27,32
5/14/2021,2021-05-14,6,12,22,27,28,32
5/12/2021,2021-05-12,1,5,17,37,38,42
5/10/2021,2021-05-10,13,23,32,34,39,41
5/7/2021,2021-05-07,14,16,20,23,40,45
5/5/2021,2021-05-05,2,3,11,23,31,32
5/3/2021,2021-05-03,18,20,27,33,34,43
4/30/2021,2021-04-30,5,16,17,18,24,38
4/28/2021,2021-04-28,1,2,5,15,42,45
4/26/2021,2021-04-26,9,10,15,32,39,43
4/23/2021,2021-04-23,2,7,21,26,28,44
4/21/2021,2021-04-21,9,28,30,36,38,41
4/19/2021,2021-04-19,13,14,15,17,37,45
4/16/2021,2021-04-16,1,7,22,30,34,36
4/14/2021,2021-04-14,1,11,24,38,39,41
4/12/2021,2021-04-12,5,16,29,31,34,44
4/9/2021,2021-04-09,10,16,25,30,38,42
4/7/2021,2021-04-07,7,15,36,38,39,44
4/5/2021,2021-04-05,14,22,33,39,44,45
3/31/2021,2021-03-31,4,12,23,26,36,43
3/26/2021,2021-03-26,3,10,18,23,34,35
3/24/2021,2021-03-24,10,16,38,39,41,44
3/22/2021,2021-03-22,12,23,24,33,35,36
3/19/2021,2021-03-19,8,30,32,37,40,42
3/17/2021,2021-03-17,2,3,28,35,36,43
3/15/2021,2021-03-15,2,7,13,34,35,45
3/12/2021,2021-03-12,19,23,30,31,37,41
3/10/2021,2021-03-10,15,23,25,29,38,40
3/8/2021,2021-03-08,2,12,16,17,27,43
3/5/2021,2021-03-05,1,4,5,17,32,39
3/3/2021,2021-03-03,5,19,22,25,36,42
3/1/2021,2021-03-01,4,11,21,24,30,39
2/26/2021,2021-02-26,2,8,13,29,33,37
2/24/2021,2021-02-24,3,4,13,17,38,40
2/22/2021,2021-02-22,13,29,30,32,35,42
2/19/2021,2021-02-19,4,6,7,14,21,29
2/17/2021,2021-02-17,3,12,13,14,36,43
2/15/2021,2021-02-15,16,32,38,40,43,44
2/12/2021,2021-02-12,9,20,27,29,30,33
2/10/2021,2021-02-10,4,16,17,29,38,45
2/8/2021,2021-02-08,5,22,31,35,36,42
2/5/2021,2021-02-05,4,6,13,18,19,29
2/3/2021,2021-02-03,3,30,33,35,38,39
2/1/2021,2021-02-01,1,6,12,25,37,41
1/29/2021,2021-01-29,14,17,23,27,36,42
1/27/2021,2021-01-27,7,10,12,29,32,35
1/25/2021,2021-01-25,13,18,23,24,30,34
1/22/2021,2021-01-22,7,26,27,41,42,44
1/20/2021,2021-01-20,1,20,25,33,40,42
1/18/2021,2021-01-18,1,4,9,31,35,45
1/15/2021,2021-01-15,4,8,14,17,21,38
1/13/2021,2021-01-13,9,12,18,19,22,44
1/11/2021,2021-01-11,1,17,20,21,37,42
1/8/2021,2021-01-08,2,7,12,16,25,39
1/6/2021,2021-01-06,2,7,27,28,33,45
1/4/2021,2021-01-04,7,19,27,30,39,44
12/30/2020,2020-12-30,6,12,15,25,29,33
12/28/2020,2020-12-28,2,4,5,8,30,42
12/23/2020,2020-12-23,2,8,22,24,33,43
12/21/2020,2020-12-21,1,6,10,15,27,39
12/18/2020,2020-12-18,25,27,30,34,37,38
12/16/2020,2020-12-16,1,17,33,37,42,44
12/14/2020,2020-12-14,6,11,24,25,34,39
12/11/2020,2020-12-11,5,15,22,26,31,33
12/9/2020,2020-12-09,9,10,12,14,41,44
12/7/2020,2020-12-07,6,8,9,28,33,34
12/4/2020,2020-12-04,8,10,14,18,32,44
12/2/2020,2020-12-02,1,7,13,15,22,39
11/30/2020,2020-11-30,16,19,26,28,30,39
11/27/2020,2020-11-27,4,5,20,28,33,41
11/25/2020,2020-11-25,1,14,18,31,37,45
11/23/2020,2020-11-23,5,8,26,27,38,40
11/20/2020,2020-11-20,11,15,20,21,27,38
11/18/2020,2020-11-18,3,6,14,15,37,43
11/16/2020,2020-11-16,5,9,17,37,43,44
11/13/2020,2020-11-13,16,31,37,42,43,45
11/11/2020,2020-11-11,10,12,22,24,29,43
11/9/2020,2020-11-09,11,16,17,20,31,32
11/6/2020,2020-11-06,1,3,23,43,44,45
11/4/2020,2020-11-04,5,21,26,34,40,45
11/2/2020,2020-11-02,2,5,14,15,18,35
10/30/2020,2020-10-30,3,21,23,27,30,42
10/28/2020,2020-10-28,7,8,9,41,44,45
10/26/2020,2020-10-26,4,10,17,22,24,36
10/23/2020,2020-10-23,1,3,10,12,24,44
10/21/2020,2020-10-21,9,12,19,24,29,37
10/19/2020,2020-10-19,5,27,29,30,33,37
10/16/2020,2020-10-16,1,17,19,20,30,31
10/14/2020,2020-10-14,3,10,18,27,37,44
10/12/2020,2020-10-12,4,9,10,14,15,37
10/9/2020,2020-10-09,10,19,26,31,33,37
10/7/2020,2020-10-07,4,6,9,20,32,33
10/5/2020,2020-10-05,3,30,31,33,41,43
10/2/2020,2020-10-02,2,12,16,21,27,44
9/30/2020,2020-09-30,6,8,14,32,39,43
9/28/2020,2020-09-28,3,8,13,23,31,38
9/25/2020,2020-09-25,9,17,24,36,42,45
9/23/2020,2020-09-23,16,18,26,31,33,34
9/21/2020,2020-09-21,3,5,8,23,43,44
9/18/2020,2020-09-18,2,5,14,24,26,39
9/16/2020,2020-09-16,2,8,17,18,26,33
9/14/2020,2020-09-14,6,13,14,20,24,44
9/11/2020,2020-09-11,5,13,17,18,20,42
9/9/2020,2020-09-09,2,25,35,37,38,45
9/7/2020,2020-09-07,5,7,17,27,34,37
9/4/2020,2020-09-04,4,14,25,27,40,44
9/2/2020,2020-09-02,3,6,9,10,28,33
8/31/2020,2020-08-31,7,23,24,34,38,40
8/28/2020,2020-08-28,12,14,20,26,32,42
8/26/2020,2020-08-26,1,10,13,21,35,38
8/24/2020,2020-08-24,1,15,18,25,31,32
8/21/2020,2020-08-21,15,26,34,35,41,42
8/19/2020,2020-08-19,22,26,31,35,37,42
8/17/2020,2020-08-17,15,16,17,32,35,39
8/14/2020,2020-08-14,6,12,18,19,27,40
8/12/2020,2020-08-12,2,20,22,28,40,43
8/10/2020,2020-08-10,12,13,21,27,34,38
8/7/2020,2020-08-07,5,9,35,36,38,42
3/16/2020,2020-03-16,5,8,9,12,24,26
3/13/2020,2020-03-13,2,23,25,35,39,44
3/11/2020,2020-03-11,4,19,29,30,36,39
3/9/2020,2020-03-09,3,16,26,34,41,42
3/6/2020,2020-03-06,11,19,32,34,36,40
3/4/2020,2020-03-04,15,25,27,32,35,39
3/2/2020,2020-03-02,3,4,8,13,22,36
2/28/2020,2020-02-28,11,15,28,31,35,40
2/26/2020,2020-02-26,5,6,11,12,24,30
2/24/2020,2020-02-24,9,10,19,37,40,42
2/21/2020,2020-02-21,3,4,6,13,15,16
2/19/2020,2020-02-19,3,15,20,37,40,43
2/17/2020,2020-02-17,4,5,9,22,27,39
2/14/2020,2020-02-14,6,7,10,12,37,42
2/12/2020,2020-02-12,2,12,20,29,34,42
2/10/2020,2020-02-10,1,3,15,25,35,45
2/7/2020,2020-02-07,3,8,23,26,30,38
2/5/2020,2020-02-05,1,13,17,22,34,43
2/3/2020,2020-02-03,11,22,24,30,35,36
1/31/2020,2020-01-31,16,26,28,30,38,43
1/29/2020,2020-01-29,3,4,9,17,30,38
1/27/2020,2020-01-27,9,11,24,31,32,45
1/24/2020,2020-01-24,2,3,5,18,28,31
1/22/2020,2020-01-22,1,10,30,31,36,41
1/20/2020,2020-01-20,3,8,11,12,15,25
1/17/2020,2020-01-17,4,8,15,18,21,39
1/15/2020,2020-01-15,11,35,38,40,41,45
1/13/2020,2020-01-13,4,12,15,35,39,45
1/10/2020,2020-01-10,4,11,13,19,21,25
1/8/2020,2020-01-08,1,20,23,25,28,35
1/6/2020,2020-01-06,2,12,14,18,37,40
1/3/2020,2020-01-03,1,32,34,36,40,41
12/30/2019,2019-12-30,2,5,18,31,42,43
12/27/2019,2019-12-27,2,10,11,25,33,40
12/23/2019,2019-12-23,17,19,23,27,31,38
12/20/2019,2019-12-20,11,13,16,27,33,39
12/18/2019,2019-12-18,4,11,20,27,28,41
12/16/2019,2019-12-16,8,9,12,17,20,43
12/13/2019,2019-12-13,4,11,18,26,31,42
12/11/2019,2019-12-11,2,8,17,24,34,36
12/9/2019,2019-12-09,10,13,17,19,24,26
12/6/2019,2019-12-06,19,20,29,38,41,42
12/4/2019,2019-12-04,11,22,26,29,33,37
12/2/2019,2019-12-02,3,10,29,36,38,45
11/29/2019,2019-11-29,10,14,25,29,43,45
11/27/2019,2019-11-27,4,24,29,33,34,39
11/25/2019,2019-11-25,5,12,23,24,27,41
11/23/2019,2019-11-23,1,3,5,22,23,28
11/22/2019,2019-11-22,1,7,11,12,18,37
11/20/2019,2019-11-20,2,3,23,27,40,43
11/18/2019,2019-11-18,8,27,31,33,34,38
11/15/2019,2019-11-15,6,7,9,16,19,22
11/13/2019,2019-11-13,2,9,19,21,34,37
11/11/2019,2019-11-11,15,18,28,33,41,43
11/8/2019,2019-11-08,1,4,13,38,42,43
11/6/2019,2019-11-06,1,8,11,25,35,45
11/4/2019,2019-11-04,4,13,17,30,34,39
11/1/2019,2019-11-01,4,7,24,32,42,44
10/30/2019,2019-10-30,3,5,13,18,29,34
10/28/2019,2019-10-28,27,30,37,43,44,45
10/25/2019,2019-10-25,3,20,23,27,36,40
10/23/2019,2019-10-23,6,7,21,29,37,43
10/21/2019,2019-10-21,13,17,19,21,37,38
10/18/2019,2019-10-18,3,22,30,32,33,42
10/16/2019,2019-10-16,3,18,30,36,39,45
10/14/2019,2019-10-14,1,6,7,16,19,37
10/11/2019,2019-10-11,2,14,15,18,37,44
10/9/2019,2019-10-09,2,12,21,26,36,43
10/7/2019,2019-10-07,2,12,23,25,26,41
10/4/2019,2019-10-04,10,13,19,20,35,43
10/2/2019,2019-10-02,10,11,16,18,39,43
9/30/2019,2019-09-30,2,4,27,30,32,43
9/27/2019,2019-09-27,4,11,18,31,33,35
9/25/2019,2019-09-25,9,14,20,22,23,24
9/23/2019,2019-09-23,22,23,25,28,35,39
9/20/2019,2019-09-20,16,19,22,26,41,43
9/18/2019,2019-09-18,2,8,25,31,33,38
9/16/2019,2019-09-16,15,19,20,21,32,43
9/13/2019,2019-09-13,4,13,16,19,33,36
9/11/2019,2019-09-11,3,13,23,25,32,44
9/9/2019,2019-09-09,10,22,31,35,37,39
9/6/2019,2019-09-06,21,22,23,26,36,39
9/4/2019,2019-09-04,30,31,34,41,42,45
9/2/2019,2019-09-02,5,6,7,31,36,37
8/30/2019,2019-08-30,6,8,12,35,37,42
8/28/2019,2019-08-28,3,11,13,25,26,45
8/26/2019,2019-08-26,14,17,18,22,32,36
8/23/2019,2019-08-23,1,6,16,24,29,42
8/21/2019,2019-08-21,10,26,27,34,37,45
8/19/2019,2019-08-19,9,18,20,26,29,31
8/16/2019,2019-08-16,13,32,33,38,40,42
8/14/2019,2019-08-14,7,10,19,21,35,40
8/12/2019,2019-08-12,12,25,28,35,36,40
8/9/2019,2019-08-09,3,18,19,23,37,43
8/7/2019,2019-08-07,21,23,37,41,43,45
8/5/2019,2019-08-05,16,27,28,34,37,44
8/2/2019,2019-08-02,7,13,15,19,24,29
7/31/2019,2019-07-31,5,14,18,20,21,39
7/29/2019,2019-07-29,11,18,22,27,32,44
7/26/2019,2019-07-26,1,15,30,38,41,43
7/24/2019,2019-07-24,14,25,33,35,40,45
7/22/2019,2019-07-22,4,7,8,11,23,25
7/19/2019,2019-07-19,10,11,15,34,35,39
7/17/2019,2019-07-17,8,11,25,33,43,45
7/15/2019,2019-07-15,3,5,20,29,31,34
7/12/2019,2019-07-12,5,9,10,35,39,41
7/10/2019,2019-07-10,6,8,13,32,36,39
7/8/2019,2019-07-08,9,10,26,30,31,41
7/5/2019,2019-07-05,10,11,14,23,37,45
7/3/2019,2019-07-03,12,14,20,24,29,38
7/1/2019,2019-07-01,4,20,32,35,43,44
6/28/2019,2019-06-28,4,16,18,24,32,34
6/26/2019,2019-06-26,9,12,14,18,19,40
6/24/2019,2019-06-24,3,7,13,26,27,40
6/21/2019,2019-06-21,2,11,14,31,32,45
6/19/2019,2019-06-19,1,11,18,34,37,43
6/17/2019,2019-06-17,6,7,12,25,30,37
6/14/2019,2019-06-14,2,6,8,20,42,43
6/12/2019,2019-06-12,1,6,9,23,28,43
6/10/2019,2019-06-10,13,17,21,25,34,39
6/7/2019,2019-06-07,1,6,19,20,28,45
6/5/2019,2019-06-05,10,13,16,23,31,32
6/3/2019,2019-06-03,4,13,21,32,43,45
5/31/2019,2019-05-31,2,5,21,25,28,44
5/29/2019,2019-05-29,9,13,16,37,44,45
5/27/2019,2019-05-27,20,30,32,33,38,41
5/24/2019,2019-05-24,11,13,21,26,30,33
5/22/2019,2019-05-22,2,8,14,33,35,40
5/20/2019,2019-05-20,3,7,18,30,31,35
5/17/2019,2019-05-17,1,5,17,32,42,45
5/15/2019,2019-05-15,1,6,12,20,22,35
5/13/2019,2019-05-13,4,6,26,34,37,45
5/10/2019,2019-05-10,1,3,7,12,30,42
5/8/2019,2019-05-08,13,14,32,34,37,44
5/6/2019,2019-05-06,12,23,29,32,33,40
5/3/2019,2019-05-03,11,18,22,28,30,40
5/1/2019,2019-05-01,1,7,17,18,40,45
4/29/2019,2019-04-29,10,17,18,19,23,35
4/26/2019,2019-04-26,5,21,26,32,34,40
4/24/2019,2019-04-24,4,9,19,29,43,45
4/22/2019,2019-04-22,8,14,15,19,26,42
4/17/2019,2019-04-17,1,3,15,26,28,36
4/15/2019,2019-04-15,2,18,20,24,32,39
4/12/2019,2019-04-12,1,4,5,16,28,42
4/10/2019,2019-04-10,4,12,22,30,39,43
4/8/2019,2019-04-08,4,8,9,14,21,23
4/5/2019,2019-04-05,15,17,18,21,24,45
4/3/2019,2019-04-03,4,11,20,23,35,44
4/1/2019,2019-04-01,20,26,29,30,32,35
3/29/2019,2019-03-29,2,10,17,25,39,42
3/27/2019,2019-03-27,1,10,17,18,26,38
3/25/2019,2019-03-25,7,11,15,22,33,41
3/22/2019,2019-03-22,5,11,19,24,28,41
3/20/2019,2019-03-20,12,22,32,33,36,39
3/18/2019,2019-03-18,14,19,20,21,40,43
3/15/2019,2019-03-15,1,4,6,11,22,29
3/13/2019,2019-03-13,3,4,5,19,23,32
3/11/2019,2019-03-11,6,7,17,26,38,41
3/8/2019,2019-03-08,1,4,5,26,37,45
3/6/2019,2019-03-06,6,7,14,24,25,43
3/4/2019,2019-03-04,16,33,35,36,37,42
3/1/2019,2019-03-01,11,13,24,27,33,38
2/27/2019,2019-02-27,2,7,14,31,34,38
2/25/2019,2019-02-25,8,15,24,27,29,45
2/22/2019,2019-02-22,8,18,27,31,35,38
2/20/2019,2019-02-20,1,14,23,24,36,45
2/18/2019,2019-02-18,7,18,29,32,42,43
2/15/2019,2019-02-15,15,28,31,37,39,40
2/13/2019,2019-02-13,12,15,16,28,32,35
2/11/2019,2019-02-11,2,17,32,36,38,40
2/8/2019,2019-02-08,10,16,25,26,30,31
2/6/2019,2019-02-06,14,22,27,38,43,44
2/4/2019,2019-02-04,5,6,12,17,23,29
2/1/2019,2019-02-01,7,16,32,33,36,37
1/30/2019,2019-01-30,8,11,25,39,41,45
1/28/2019,2019-01-28,4,5,6,27,34,43
1/25/2019,2019-01-25,2,11,20,23,44,45
1/23/2019,2019-01-23,1,18,19,25,39,43
1/21/2019,2019-01-21,9,13,16,20,30,32
1/18/2019,2019-01-18,3,5,22,39,44,45
1/16/2019,2019-01-16,2,12,15,17,19,26
1/14/2019,2019-01-14,1,2,6,29,31,38
1/11/2019,2019-01-11,2,18,31,32,43,44
1/9/2019,2019-01-09,2,5,20,21,26,37
1/7/2019,2019-01-07,2,4,8,21,23,41
1/4/2019,2019-01-04,6,14,21,23,26,27
1/2/2019,2019-01-02,10,15,21,37,39,45
12/31/2018,2018-12-31,1,24,27,29,32,39
12/28/2018,2018-12-28,16,18,19,26,35,41
12/26/2018,2018-12-26,6,13,15,26,33,40
12/24/2018,2018-12-24,6,21,23,29,35,37
12/21/2018,2018-12-21,7,21,23,28,39,42
12/19/2018,2018-12-19,3,4,9,36,39,44
